"Time (UTCG)","Azimuth (deg)","Elevation (deg)","Range (km)"
26 May 2026 19:28:32.042,57.393,0.000,1822.249977
26 May 2026 19:29:32.000,71.625,1.707,1636.954368
26 May 2026 19:30:32.000,88.284,2.422,1562.064678
26 May 2026 19:31:32.000,105.186,1.830,1613.837468
26 May 2026 19:32:32.000,119.963,0.172,1781.261150
26 May 2026 19:32:37.056,121.069,0.000,1799.778284

Interval Statistics
"Min Elevation",26 May 2026 19:28:32.042,57.393,0.000,1822.249977
"Max Elevation",26 May 2026 19:30:35.072,89.167,2.424,1561.615667
"Mean Elevation",,,1.022,
"Min Range",26 May 2026 19:30:37.602,89.894,2.422,1561.500575
"Max Range",26 May 2026 19:28:32.042,57.393,0.000,1822.249977
"Mean Range",,,,1702.690987

"Time (UTCG)","Azimuth (deg)","Elevation (deg)","Range (km)"
26 May 2026 20:55:34.891,4.024,0.000,1832.096966
26 May 2026 20:56:34.000,0.821,4.480,1396.105994
26 May 2026 20:57:34.000,354.331,11.179,966.102088
26 May 2026 20:58:34.000,336.850,23.540,582.046842
26 May 2026 20:59:34.000,276.346,36.532,410.429296
26 May 2026 21:00:34.000,226.961,20.025,650.612249
26 May 2026 21:01:34.000,213.106,9.209,1049.793816
26 May 2026 21:02:34.000,207.523,3.099,1483.693897
26 May 2026 21:03:15.684,205.320,0.000,1791.578952

Interval Statistics
"Min Elevation",26 May 2026 20:55:34.891,4.024,0.000,1832.096966
"Max Elevation",26 May 2026 20:59:27.772,284.844,36.856,407.865929
"Mean Elevation",,,12.007,
"Min Range",26 May 2026 20:59:28.036,284.482,36.855,407.860904
"Max Range",26 May 2026 20:55:34.891,4.024,0.000,1832.096966
"Mean Range",,,,1129.162233

"Time (UTCG)","Azimuth (deg)","Elevation (deg)","Range (km)"
27 May 2026 06:58:58.841,125.423,0.000,1798.424821
27 May 2026 06:59:58.000,115.064,3.537,1452.909041
27 May 2026 07:00:58.000,98.673,7.214,1177.836817
27 May 2026 07:01:58.000,75.129,9.556,1042.218360
27 May 2026 07:02:58.000,49.690,8.619,1099.767796
27 May 2026 07:03:58.000,30.191,5.338,1325.413355
27 May 2026 07:04:58.000,17.558,1.691,1650.861529
27 May 2026 07:05:27.495,13.142,0.000,1831.567466

Interval Statistics
"Min Elevation",27 May 2026 07:05:27.495,13.142,0.000,1831.567579
"Max Elevation",27 May 2026 07:02:11.884,69.062,9.657,1037.779624
"Mean Elevation",,,4.495,
"Min Range",27 May 2026 07:02:10.580,69.633,9.656,1037.731324
"Max Range",27 May 2026 07:05:27.495,13.142,0.000,1831.567579
"Mean Range",,,,1422.374898

"Time (UTCG)","Azimuth (deg)","Elevation (deg)","Range (km)"
27 May 2026 08:27:10.679,200.974,0.000,1790.982221
27 May 2026 08:28:10.000,209.931,3.909,1413.894063
27 May 2026 08:29:10.000,225.023,8.545,1088.864313
27 May 2026 08:30:10.000,250.030,12.675,887.086309
27 May 2026 08:31:10.000,281.311,12.546,896.932838
27 May 2026 08:32:10.000,305.457,8.393,1112.538208
27 May 2026 08:33:10.000,319.936,3.872,1443.609173
27 May 2026 08:34:10.000,328.680,0.016,1827.167449
27 May 2026 08:34:10.279,328.712,0.000,1829.023445

Interval Statistics
"Min Elevation",27 May 2026 08:27:10.679,200.974,0.000,1790.982221
"Max Elevation",27 May 2026 08:30:38.526,264.975,13.332,862.178997
"Mean Elevation",,,5.551,
"Min Range",27 May 2026 08:30:37.466,264.408,13.331,862.141253
"Max Range",27 May 2026 08:34:10.279,328.712,0.000,1829.023445
"Mean Range",,,,1365.566446

Global Statistics
"Min Elevation",26 May 2026 19:28:32.042,57.393,0.000,1822.249977
"Max Elevation",26 May 2026 20:59:27.772,284.844,36.856,407.865929
"Mean Elevation",,,6.253,
"Min Range",26 May 2026 20:59:28.036,284.482,36.855,407.860904
"Max Range",26 May 2026 20:55:34.891,4.024,0.000,1832.096966
"Mean Range",,,,1376.490726


