"Time (UTCG)","RangeRate (km/sec)"
26 May 2026 19:28:32.042,-3.846562
26 May 2026 19:29:32.000,-2.245399
26 May 2026 19:30:32.000,-0.201342
26 May 2026 19:31:32.000,1.892942
26 May 2026 19:32:32.000,3.601854
26 May 2026 19:32:37.056,3.721658

"Time (UTCG)","RangeRate (km/sec)"
26 May 2026 20:55:34.891,-7.420642
26 May 2026 20:56:34.000,-7.310961
26 May 2026 20:57:34.000,-6.951257
26 May 2026 20:58:34.000,-5.480509
26 May 2026 20:59:34.000,0.858529
26 May 2026 21:00:34.000,5.983956
26 May 2026 21:01:34.000,7.062935
26 May 2026 21:02:34.000,7.345572
26 May 2026 21:03:15.684,7.416682

"Time (UTCG)","RangeRate (km/sec)"
27 May 2026 06:58:58.841,-6.227480
27 May 2026 06:59:58.000,-5.355954
27 May 2026 07:00:58.000,-3.628446
27 May 2026 07:01:58.000,-0.711799
27 May 2026 07:02:58.000,2.542158
27 May 2026 07:03:58.000,4.769102
27 May 2026 07:04:58.000,5.945864
27 May 2026 07:05:27.495,6.288129

"Time (UTCG)","RangeRate (km/sec)"
27 May 2026 08:27:10.679,-6.625688
27 May 2026 08:28:10.000,-6.010913
27 May 2026 08:29:10.000,-4.641850
27 May 2026 08:30:10.000,-1.790946
27 May 2026 08:31:10.000,2.096775
27 May 2026 08:32:10.000,4.796611
27 May 2026 08:33:10.000,6.068947
27 May 2026 08:34:10.000,6.642988
27 May 2026 08:34:10.279,6.644767


